"","o1","o2","o3","o4","o5","o6","o7","o8"
"CT-WILD-01",NA,0,0,0,0,0,0,NA
"CT-WILD-02",NA,0,0,0,0,0,0,NA
"CT-WILD-03",0,0,0,0,0,0,0,NA
"CT-WILD-04",0,0,0,0,0,0,0,NA
"CT-WILD-05",0,0,0,0,0,0,0,NA
"CT-WILD-06",0,0,0,0,0,0,0,NA
"CT-WILD-07",0,0,0,0,0,0,0,NA
"CT-WILD-08",0,0,0,0,0,0,0,NA
"CT-WILD-10",NA,0,0,0,0,0,0,NA
"CT-WILD-11",NA,0,0,0,0,0,0,NA
"CT-WILD-12",NA,0,0,0,0,0,NA,NA
"CT-WILD-13",NA,0,0,0,0,0,0,NA
"CT-WILD-14",NA,0,0,0,0,0,0,NA
"CT-WILD-15",NA,1,0,0,0,0,0,NA
"CT-WILD-16",NA,0,0,0,0,0,0,NA
"CT-WILD-17",NA,0,0,0,0,0,0,NA
"CT-WILD-18",NA,0,0,0,0,0,0,NA
"CT-WILD-19",NA,0,0,0,0,0,0,NA
"CT-WILD-20",NA,0,0,0,0,0,0,NA
"CT-WILD-21",NA,0,0,0,0,0,0,NA
"CT-WILD-22",NA,0,0,0,0,0,0,NA
"CT-WILD-23",NA,0,0,0,0,0,0,NA
"CT-WILD-24",NA,0,0,0,0,0,0,NA
"CT-WILD-25",NA,0,0,0,0,0,0,NA
"CT-WILD-26",NA,0,0,0,0,0,0,NA
"CT-WILD-27",NA,0,0,0,0,0,0,NA
"CT-WILD-28",NA,0,0,0,0,0,0,NA
"CT-WILD-29",0,0,0,0,0,0,0,NA
"CT-WILD-30",0,0,0,0,0,0,0,NA
