"","o1","o2","o3","o4","o5","o6"
"CT-CA-01",1,1,1,1,1,NA
"CT-CA-02",0,0,1,0,0,NA
"CT-CA-03",NA,0,0,1,1,NA
"CT-CA-04",NA,1,1,1,1,NA
"CT-CA-06",NA,1,1,0,NA,NA
"CT-CA-07",NA,0,1,0,0,NA
"CT-CA-08",NA,0,0,1,0,NA
"CT-CA-10",NA,0,0,0,0,NA
"CT-CA-11",NA,NA,NA,1,0,NA
"CT-CA-12",NA,NA,NA,0,0,NA
"CT-CA-13",NA,NA,NA,NA,0,NA
"CT-CA-14",NA,NA,NA,NA,1,NA
"CT-CA-15",NA,NA,NA,NA,0,NA
"CT-CA-16",NA,NA,NA,NA,0,NA
"CT-CA-17",NA,NA,NA,NA,0,NA
"CT-CA-18",NA,NA,NA,NA,0,NA
"CT-CA-19",NA,NA,NA,NA,1,NA
"CT-CA-20",NA,NA,NA,NA,0,NA
