"","Station","minStart","maxEnd","Year","lcc_habitats","discrete_classification","color","description","hab_code"
"1","POA_ST15",2019-03-30,2019-08-02,2019,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"2","POA_ST14",2019-03-30,2019-08-02,2019,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"3","POA_ST18",2019-08-02,2019-12-27,2019,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"4","POA_ST1",2019-08-04,2019-12-22,2019,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"5","POA_ST17",2019-08-08,2019-11-30,2019,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"6","POA_ST9",2019-08-04,2019-12-29,2019,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"7","POA_ST3",2019-03-31,2019-08-04,2019,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"8","POA_ST16",2019-02-28,2019-08-03,2019,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"9","POA_ST5",2019-08-03,2019-12-28,2019,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"10","POA_ST8",2019-02-28,2019-03-23,2019,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"11","POA_ST13",2019-03-30,2019-08-02,2019,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"12","POA_ST4",2019-08-03,2019-12-28,2019,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"13","POA_ST2",2019-02-27,2019-04-29,2019,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"14","POA_ST6",2019-08-03,2019-12-28,2019,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"15","POA_ST12",2019-03-30,2019-08-02,2019,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"16","POA_ST10",2019-08-04,2019-12-26,2019,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"17","POA_ST11",2019-03-30,2019-08-02,2019,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"18","POA_ST19",2018-08-04,2019-03-07,2019,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"19","RNB_ST4",2021-02-23,2022-01-11,2021,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"20","RNB_ST19",2021-02-24,2021-11-27,2021,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"21","RNB_ST21",2021-02-24,2021-11-27,2021,"open_forest_evergreen_broad",122,"8DB400","Open forest, evergreen broad leaf. Top layer- trees 15-70 % and second layer- mixed of shrubs and grassland, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","open_forest_evergreen_broad"
"22","RNB_ST23",2021-02-23,2022-02-14,2021,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"23","RNB_ST11",2021-02-23,2021-05-30,2021,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"24","RNB_ST10",2021-02-23,2022-02-15,2021,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"25","RNB_ST14",2021-02-23,2021-11-27,2021,"open_forest_evergreen_broad",122,"8DB400","Open forest, evergreen broad leaf. Top layer- trees 15-70 % and second layer- mixed of shrubs and grassland, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","open_forest_evergreen_broad"
"26","RNB_ST12",2021-02-22,2021-11-27,2021,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"27","RNB_ST6",2021-03-01,2021-11-27,2021,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"28","RNB_ST18",2021-05-04,2022-02-15,2021,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"29","RNB_ST7",2021-05-29,2021-08-28,2021,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"30","RNB_ST2",2021-05-31,2022-01-16,2021,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"31","RNB_ST8",2021-05-31,2021-09-23,2021,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"32","RNB_ST1",2021-05-29,2022-01-28,2021,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"33","RNB_ST3",2021-05-29,2022-06-20,2021,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"34","RNB_ST17",2021-05-31,2021-08-29,2021,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"35","RNB_ST13",2021-05-31,2021-07-03,2021,"open_forest_evergreen_broad",122,"8DB400","Open forest, evergreen broad leaf. Top layer- trees 15-70 % and second layer- mixed of shrubs and grassland, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","open_forest_evergreen_broad"
"36","RNB_ST20",2021-05-31,2022-03-23,2021,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"37","RNB_ST9",2021-05-30,2021-11-12,2021,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"38","RNB_ST5",2021-05-30,2021-11-12,2021,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"39","RNB_ST22",2021-07-03,2022-03-05,2021,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"40","RNB_ST16",2021-08-29,2022-06-20,2021,"open_forest_evergreen_broad",122,"8DB400","Open forest, evergreen broad leaf. Top layer- trees 15-70 % and second layer- mixed of shrubs and grassland, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","open_forest_evergreen_broad"
"41","RNB_ST15",2021-11-13,2021-12-08,2021,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"42","MLJ_ST1",2021-10-29,2021-11-25,2021,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"43","MLJ_ST9",2021-10-30,2021-11-25,2021,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"44","MLJ_ST13",2021-11-08,2021-11-25,2021,"open_forest_evergreen_broad",122,"8DB400","Open forest, evergreen broad leaf. Top layer- trees 15-70 % and second layer- mixed of shrubs and grassland, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","open_forest_evergreen_broad"
"45","MLJ_ST16",2021-11-02,2021-11-25,2021,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"46","MLJ_ST3",2021-11-02,2021-11-25,2021,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"47","MLJ_ST6",2021-10-30,2021-11-25,2021,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
