"","o1","o2","o3","o4","o5","o6","o7","o8"
"CT-K1-1",14.5,15,15,15,15,15,15,4.5
"CT-K1-2",14.5,15,15,15,15,7.5,NA,NA
"CT-K1-4",14.5,15,15,15,15,3.5,NA,NA
"CT-K1-5",14.5,15,15,15,15,7.5,NA,NA
"CT-K1-6",14.5,15,15,15,15,3.5,NA,NA
"CT-K1-8",14.5,15,15,15,15,7.5,NA,NA
"CT-K1-11",14.5,15,15,15,15,3.5,NA,NA
"CT-K1-17",14.5,15,15,15,15,1.5,NA,NA
"CT-K1-18",14.5,15,15,15,15,7.5,NA,NA
"CT-K1-19",14.5,15,15,15,15,7.5,NA,NA
"CT-K1-20",14.5,15,15,15,15,7.5,NA,NA
"CT-K1-21",14.5,15,15,15,15,6.5,NA,NA
"CT-K1-22",14.5,15,15,15,15,7.5,NA,NA
"CT-K1-23",14.5,15,15,15,15,7.5,NA,NA
"CT-K1-30-92",14.5,15,15,15,15,15,1.5,NA
"CT-K1-31-124",14.5,15,15,15,15,7.5,NA,NA
"CT-K1-33-123",14.5,15,15,15,15,7.5,NA,NA
"CT-K1-33-108",14.5,15,15,15,15,7.5,NA,NA
"CT-K1-34-93",14.5,15,15,15,15,7.5,NA,NA
"CT-K1-35-107",14.5,15,15,15,15,7.5,NA,NA
"CT-K1-39-39",14.5,15,15,15,15,15,15,8.5
"CT-K1-41-24",14.5,15,15,15,15,7.5,NA,NA
"CT-K1-43-40",14.5,15,15,15,15,7.5,NA,NA
"CT-K1-45-23",14.5,15,15,15,15,7.5,NA,NA
"CT-K1-46",14.5,15,15,15,15,7.5,NA,NA
"CT-K1-44",14.5,15,15,15,15,7.5,NA,NA
"CT-K1-36",14.5,15,15,15,15,7.5,NA,NA
"CT-K1-37",14.5,15,15,15,15,7.5,NA,NA
"CT-K1-38-41",14.5,15,15,15,15,7.5,NA,NA
"CT-K1-40",14.5,15,15,15,15,7.5,NA,NA
"CT-K1-42",14.5,15,15,15,15,7.5,NA,NA
