"","o1","o2","o3","o4","o5","o6","o7","o8","o9"
"CT-K2-31-124",24.5,25,25,25,25,25,25,23.5,NA
"CT-K2-30-92",24.5,25,25,25,25,25,25,25,1.5
"CT-K2-22",24.5,25,25,25,25,25,15.5,NA,NA
"CT-K2-23",24.5,25,25,25,25,25,25,24.5,NA
"CT-K2-33-123",24.5,25,25,25,25,25,13.5,NA,NA
"CT-K2-33-108",24.5,25,25,25,25,25,14.5,NA,NA
"CT-K2-2",24.5,25,25,25,25,25,11.5,NA,NA
"CT-K2-34-93",24.5,25,25,25,25,25,25,19.5,NA
"CT-K2-5",24.5,25,25,25,25,25,25,25,2.5
"CT-K2-35-107",24.5,25,25,25,25,25,13.5,NA,NA
"CT-K2-39-39",24.5,25,25,25,25,25,25,9.5,NA
"CT-K2-41-24",24.5,25,25,25,25,25,16.5,NA,NA
"CT-K2-43-40",24.5,25,25,25,25,25,12.5,NA,NA
"CT-K2-45-23",24.5,25,25,25,25,25,14.5,NA,NA
"CT-K2-46",24.5,25,25,25,25,25,11.5,NA,NA
"CT-K2-44",24.5,25,25,25,25,25,25,25,1.5
"CT-K2-36",24.5,25,25,25,25,25,14.5,NA,NA
"CT-K2-25",24.5,25,25,25,25,25,14.5,NA,NA
"CT-K2-37",24.5,25,25,25,25,25,14.5,NA,NA
"CT-K2-38-41",24.5,25,25,25,25,25,16.5,NA,NA
"CT-K2-42",24.5,25,25,25,25,25,11.5,NA,NA
"CT-K2-40",24.5,25,25,25,25,25,14.5,NA,NA
