"","deployment_id","samp_year","lat","lon","land_cover","per_tree_cov","roads","cattle"
"1","CT-K1-1","2021",-77.156245,7.851406,"2",65,152,0
"2","CT-K1-2","2021",-77.135077,7.836158,"2",70,152,0
"3","CT-K1-4","2021",-77.136203,7.853691,"2",76,152,0
"4","CT-K1-5","2021",-77.129945,7.842363,"2",75,152,0
"5","CT-K1-6","2021",-77.165344,7.850801,"2",73,152,0
"6","CT-K1-8","2021",-77.147702,7.850847,"2",75,152,0
"7","CT-K1-11","2021",-77.165542,7.856638,"2",65,152,0
"8","CT-K1-17","2021",-77.129409,7.840656,"2",71,152,0
"9","CT-K1-18","2021",-77.136073,7.871598,"2",71,152,0
"10","CT-K1-19","2021",-77.146902,7.851534,"2",74,152,0
"11","CT-K1-20","2021",-77.143234,7.86833,"2",68,152,0
"12","CT-K1-21","2021",-77.131857,7.87026,"2",69,152,0
"13","CT-K1-22","2021",-77.155446,7.84353,"2",59,152,0
"14","CT-K1-23","2021",-77.147293,7.84335,"2",69,152,0
"15","CT-K1-30-92","2021",-77.295547,7.7398611,"2",67,0,92.4452245869035
"16","CT-K1-31-124","2021",-77.2787,7.73855,"2",63,0,92.4452245869035
"17","CT-K1-33-123","2021",-77.2769805,7.7506417,"2",66,0,0
"18","CT-K1-33-108","2021",-77.283718,7.7596123,"2",55,0,0
"19","CT-K1-34-93","2021",-77.294438,7.7483472,"2",74,0,92.4452245869035
"20","CT-K1-35-107","2021",-77.28381,7.7502333,"2",56,0,0
"21","CT-K1-39-39","2021",-77.32255,7.7855833,"2",71,0,0
"22","CT-K1-41-24","2021",-77.330611,7.7766667,"2",74,0,0
"23","CT-K1-43-40","2021",-77.32311,7.7764722,"2",77,0,0
"24","CT-K1-45-23","2021",-77.332611,7.7876389,"2",74,0,0
"25","CT-K1-46","2021",-77.295194,7.7588333,"2",62,0,0
"26","CT-K1-44","2021",-77.304978,7.7596123,"8",51,0,0
"27","CT-K1-36","2021",-77.31295717,7.7594113,"2",68,0,0
"28","CT-K1-37","2021",-77.327289,7.7609055,"2",75,0,0
"29","CT-K1-38-41","2021",-77.324129,7.7682891,"2",62,0,0
"30","CT-K1-40","2021",-77.32202167,7.7609825,"2",80,0,0
"31","CT-K1-42","2021",-77.3293058,7.7677003,"2",72,0,0
"32","CT-K2-31-124","2022",-77.2787,7.73855,"2",63,0,92.4452245869035
"33","CT-K2-30-92","2022",-77.295547,7.7398611,"2",67,0,92.4452245869035
"34","CT-K2-22","2022",-77.155446,7.84353,"2",59,152,0
"35","CT-K2-23","2022",-77.147293,7.84335,"2",69,152,0
"36","CT-K2-33-123","2022",-77.2769805,7.7506417,"2",66,0,0
"37","CT-K2-33-108","2022",-77.283718,7.7596123,"2",55,0,0
"38","CT-K2-2","2022",-77.135077,7.836158,"2",70,152,0
"39","CT-K2-34-93","2022",-77.294438,7.7483472,"2",74,0,92.4452245869035
"40","CT-K2-5","2022",-77.129945,7.842363,"2",75,152,0
"41","CT-K2-35-107","2022",-77.28381,7.7502333,"2",56,0,0
"42","CT-K2-39-39","2022",-77.32255,7.7855833,"2",71,0,0
"43","CT-K2-41-24","2022",-77.330611,7.7766667,"2",74,0,0
"44","CT-K2-43-40","2022",-77.32311,7.7764722,"2",77,0,0
"45","CT-K2-45-23","2022",-77.332611,7.7876389,"2",74,0,0
"46","CT-K2-46","2022",-77.295194,7.7588333,"2",62,0,0
"47","CT-K2-44","2022",-77.304978,7.7596123,"8",51,0,0
"48","CT-K2-36","2022",-77.31295717,7.7594113,"2",68,0,0
"49","CT-K2-25","2022",-77.2772,7.75081,"2",66,0,0
"50","CT-K2-37","2022",-77.327289,7.7609055,"2",75,0,0
"51","CT-K2-38-41","2022",-77.324129,7.7682891,"2",62,0,0
"52","CT-K2-42","2022",-77.3293058,7.7677003,"2",72,0,0
"53","CT-K2-40","2022",-77.32202167,7.7609825,"2",80,0,0
