"","o1","o2","o3","o4","o5","o6","o7","o8","o9"
"CT-K2-31-124",0,0,0,0,0,0,0,0,NA
"CT-K2-30-92",0,0,0,0,0,0,0,0,0
"CT-K2-22",0,0,0,0,0,0,0,NA,NA
"CT-K2-23",1,0,1,0,0,0,0,0,NA
"CT-K2-33-123",0,0,0,0,0,0,0,NA,NA
"CT-K2-33-108",0,0,0,0,0,0,0,NA,NA
"CT-K2-2",0,0,0,0,0,0,0,NA,NA
"CT-K2-34-93",0,0,0,0,0,0,0,0,NA
"CT-K2-5",0,0,0,0,0,0,0,0,0
"CT-K2-35-107",0,0,0,0,0,0,0,NA,NA
"CT-K2-39-39",0,0,0,0,0,0,0,0,NA
"CT-K2-41-24",0,0,0,0,0,0,0,NA,NA
"CT-K2-43-40",1,0,0,0,0,0,0,NA,NA
"CT-K2-45-23",0,0,0,0,0,0,0,NA,NA
"CT-K2-46",0,0,0,0,0,0,0,NA,NA
"CT-K2-44",0,0,0,0,0,0,0,0,0
"CT-K2-36",0,0,0,0,0,0,0,NA,NA
"CT-K2-25",0,0,0,0,0,0,0,NA,NA
"CT-K2-37",0,0,0,0,0,0,0,NA,NA
"CT-K2-38-41",0,0,0,0,0,0,0,NA,NA
"CT-K2-42",1,1,0,0,0,0,0,NA,NA
"CT-K2-40",0,0,0,0,0,0,0,NA,NA
