deployment_id ,o1,o2,o3,o4,o5,o6,site,year,e1,e2,e3,e4,e5,e6,land_cover,per_tree_cov,roads,cattle,lat,lon
CT-K1-1,1,1,0,0,0,0,1,2021,14.5,15,15,15,15,5,2,65,152,0,-77.156245,7.851406
CT-K1-2,1,0,1,0,0,0,2,2021,14.5,15,15,15,15,8,2,70,152,0,-77.135077,7.836158
CT-K1-4,0,0,0,0,0,0,3,2021,14.5,15,15,15,15,3,2,76,152,0,-77.136203,7.853691
CT-K1-5,0,0,0,0,0,0,4,2021,14.5,15,15,15,15,7,2,75,152,0,-77.129945,7.842363
CT-K1-6,0,0,0,0,0,0,5,2021,14.5,15,15,15,15,3,2,73,152,0,-77.165344,7.850801
CT-K1-8,0,0,0,0,0,0,6,2021,14.5,15,15,15,15,7,2,75,152,0,-77.147702,7.850847
CT-K1-11,0,0,0,0,0,0,7,2021,14.5,15,15,15,15,3,2,65,152,0,-77.165542,7.856638
CT-K1-17,1,0,0,0,0,0,8,2021,14.5,15,15,15,15,2,2,71,152,0,-77.129409,7.840656
CT-K1-18,0,0,0,0,0,0,9,2021,14.5,15,15,15,15,7,2,71,152,0,-77.136073,7.871598
CT-K1-19,0,0,0,0,0,0,10,2021,14.5,15,15,15,15,7,2,74,152,0,-77.146902,7.851534
CT-K1-20,0,0,0,0,0,0,11,2021,14.5,15,15,15,15,7,2,68,152,0,-77.143234,7.86833
CT-K1-21,0,0,0,0,0,0,12,2021,14.5,15,15,15,15,6,2,69,152,0,-77.131857,7.87026
CT-K1-22,0,0,0,0,0,0,13,2021,14.5,15,15,15,15,7,2,59,152,0,-77.155446,7.84353
CT-K1-23,0,0,0,0,0,0,14,2021,14.5,15,15,15,15,7,2,69,152,0,-77.147293,7.84335
CT-K1-25,NA,NA,NA,NA,NA,NA,32,2021,NA,NA,NA,NA,NA,NA,2,69,152,0,-77.2772,7.75081
CT-K1-30-92,0,0,0,0,0,0,15,2021,14.5,15,15,15,15,15,2,67,0,92.4452245869035,-77.295547,7.7398611
CT-K1-31-124,0,0,0,0,0,0,16,2021,14.5,15,15,15,15,7,2,63,0,92.4452245869035,-77.2787,7.73855
CT-K1-33-123,0,0,0,1,0,0,17,2021,14.5,15,15,15,15,8,2,66,0,0,-77.2769805,7.7506417
CT-K1-33-108,0,0,0,0,0,0,18,2021,14.5,15,15,15,15,7,2,55,0,0,-77.283718,7.7596123
CT-K1-34-93,0,0,0,0,0,0,19,2021,14.5,15,15,15,15,7,2,74,0,92.4452245869035,-77.294438,7.7483472
CT-K1-35-107,0,0,0,0,0,0,20,2021,14.5,15,15,15,15,7,2,56,0,0,-77.28381,7.7502333
CT-K1-39-39,0,0,0,0,0,0,21,2021,14.5,15,15,15,15,7,2,71,0,0,-77.32255,7.7855833
CT-K1-41-24,0,0,0,0,0,0,22,2021,14.5,15,15,15,15,7,2,74,0,0,-77.330611,7.7766667
CT-K1-43-40,0,0,0,0,0,0,23,2021,14.5,15,15,15,15,7,2,77,0,0,-77.32311,7.7764722
CT-K1-45-23,1,0,0,0,1,0,24,2021,14.5,15,15,15,15,8,2,74,0,0,-77.332611,7.7876389
CT-K1-46,0,0,0,0,0,0,25,2021,14.5,15,15,15,15,7,2,62,0,0,-77.295194,7.7588333
CT-K1-44,1,0,0,0,0,0,26,2021,14.5,15,15,15,15,8,8,51,0,0,-77.304978,7.7596123
CT-K1-36,0,0,0,0,0,0,27,2021,14.5,15,15,15,15,7,2,68,0,0,-77.31295717,7.7594113
CT-K1-37,0,0,0,0,0,0,28,2021,14.5,15,15,15,15,7,2,75,0,0,-77.327289,7.7609055
CT-K1-38-41,0,0,0,0,0,0,29,2021,14.5,15,15,15,15,7,2,62,0,0,-77.324129,7.7682891
CT-K1-40,0,0,0,0,0,0,30,2021,14.5,15,15,15,15,7,2,80,0,0,-77.32202167,7.7609825
CT-K1-42,0,0,0,0,0,0,31,2021,14.5,15,15,15,15,7,2,72,0,0,-77.3293058,7.7677003
CT-K2-31-124,0,0,0,0,0,0,16,2022,24.5,25,25,25,25,7,2,63,0,92.4452245869035,-77.2787,7.73855
CT-K2-30-92,0,0,0,0,0,0,15,2022,24.5,25,25,25,25,2,2,67,0,92.4452245869035,-77.295547,7.7398611
CT-K2-22,0,0,0,0,0,0,13,2022,24.5,25,25,25,25,7,2,59,152,0,-77.155446,7.84353
CT-K2-23,1,0,1,0,0,0,14,2022,24.5,25,25,25,25,25,2,69,152,0,-77.147293,7.84335
