Deployment_id,Longitude,Latitude,o1,o2,o3,o4,o5,d1,d2,d3,d4,d5,p1,p2,p3,p4,p5,e1,e2,e3,e4,e5
CT-LC-2-01,0.931988,-77.102497,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,19.5,20,20,20,20
CT-LC-2-02,0.953796,-77.147101,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,19.5,20,20,20,10.5
CT-LC-2-03,0.933112,-77.085049,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,19.5,20,20,17.5,NA
CT-LC-2-05,0.935661,-77.093707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,20,20,20,4.5
CT-LC-2-07,0.954144,-77.138633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,20,20,20,14.5
CT-LC-2-08,0.949534,-77.137946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,20,20,20,10.5
CT-LC-2-09,0.935903,-77.143537,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,19.5,20,12.5,NA,NA
CT-LC-2-10,0.959748,-77.150994,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.5,20,20,20,10.5
CT-LC-2-11,0.959802,-77.142606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,20,20,20,10.5
CT-LC-2-12,0.940213,-77.133984,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,20,20,20,9.5
CT-LC-2-13,0.945421,-77.135634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,20,20,20,8.5
CT-LC-2-14,0.954258,-77.142655,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,19.5,5.5,NA,NA,NA
CT-LC-2-15,0.95912,-77.13537,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,20,20,20,10.5
CT-LC-2-16,0.934891,-77.089166,0,0,NA,NA,NA,0,0,NA,NA,NA,0,1,NA,NA,NA,19.5,7.5,NA,NA,NA
CT-LC-2-17,0.954008,-77.13423,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,19.5,20,20,20,10.5
CT-LC-2-18,0.935275,-77.081093,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,19.5,20,20,17.5,NA
CT-LC-2-20,0.936517,-77.148115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,20,20,20,20
CT-LC-2-21,0.927207,-77.125035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,20,20,20,11.5
CT-LC-2-22,0.931394,-77.13462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,20,20,20,10.5
CT-LC-2-23,0.940405,-77.125292,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,19.5,20,20,20,5.5
CT-LC-2-24,0.934419,-77.106723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,20,20,20,6.5
CT-LC-2-25,0.932113,-77.142657,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,19.5,20,20,20,10.5
