"","o1","o2","o3","o4","o5","Deployment_id","Longitude","Latitude","e1","e2","e3","e4","NA"
"ECU-016-D0001",0,0,0,0,0,"ECU-016-D0001",NA,NA,19.5,20,20,20,12.5
"ECU-016-D0002",0,0,0,0,0,"ECU-016-D0002",NA,NA,19.5,20,20,20,12.5
"ECU-016-D0003",0,1,0,0,0,"ECU-016-D0003",NA,NA,19.5,20,20,20,11.5
"ECU-016-D0004",0,0,0,0,0,"ECU-016-D0004",NA,NA,19.5,20,20,20,11.5
"ECU-016-D0005",0,0,0,0,NA,"ECU-016-D0005",NA,NA,19.5,20,20,18.5,NA
"ECU-016-D0006",0,1,0,0,0,"ECU-016-D0006",NA,NA,19.5,20,20,20,12.5
"ECU-016-D0007",0,1,0,0,0,"ECU-016-D0007",NA,NA,19.5,20,20,20,10.5
"ECU-016-D0008",0,0,0,0,NA,"ECU-016-D0008",NA,NA,19.5,20,20,16.5,NA
"ECU-016-D0009",0,NA,NA,NA,NA,"ECU-016-D0009",NA,NA,13,NA,NA,NA,NA
"ECU-016-D0010",1,1,0,1,0,"ECU-016-D0010",NA,NA,19.5,20,20,20,16.5
"ECU-016-D0011",0,0,0,0,0,"ECU-016-D0011",NA,NA,19.5,20,20,20,8.5
"ECU-016-D0012",1,0,0,0,0,"ECU-016-D0012",NA,NA,19.5,20,20,20,8.5
"ECU-016-D0013",0,0,0,0,0,"ECU-016-D0013",NA,NA,19.5,20,20,20,8.5
"ECU-016-D0014",0,0,0,0,0,"ECU-016-D0014",NA,NA,19.5,20,20,20,8.5
"ECU-016-D0015",0,0,0,0,0,"ECU-016-D0015",NA,NA,19.5,20,20,20,11.5
"ECU-016-D0016",0,1,0,0,0,"ECU-016-D0016",NA,NA,19.5,20,20,20,13.5
"ECU-016-D0017",0,0,0,0,0,"ECU-016-D0017",NA,NA,19.5,20,20,20,11.5
"ECU-016-D0018",0,0,0,0,0,"ECU-016-D0018",NA,NA,19.5,20,20,20,11.5
"ECU-016-D0019",0,0,0,0,0,"ECU-016-D0019",NA,NA,19.5,20,20,20,12.5
"ECU-016-D0020",0,0,0,0,0,"ECU-016-D0020",NA,NA,19.5,20,20,20,12.5
"ECU-016-D0021",0,0,0,0,0,"ECU-016-D0021",NA,NA,19.5,20,20,20,10.5
"ECU-016-D0022",0,1,0,0,0,"ECU-016-D0022",NA,NA,19.5,20,20,20,8.5
"ECU-016-D0023",0,0,0,0,NA,"ECU-016-D0023",NA,NA,19.5,20,20,12.5,NA
"ECU-016-D0024",0,0,1,0,NA,"ECU-016-D0024",NA,NA,19.5,20,20,12.5,NA
"ECU-016-D0025",0,0,0,0,NA,"ECU-016-D0025",NA,NA,19.5,20,20,11.5,NA
"ECU-016-D0026",0,0,0,0,NA,"ECU-016-D0026",NA,NA,19.5,20,20,11.5,NA
"ECU-016-D0027",0,1,0,0,NA,"ECU-016-D0027",NA,NA,19.5,20,20,11.5,NA
"ECU-016-D0028",0,0,NA,NA,NA,"ECU-016-D0028",NA,NA,19.5,1.5,NA,NA,NA
