"","o1","o2","o3","o4","o5","deployment_id_cam","longitude","latitude","e1","e2","e3","e4","e5"
"ARB01-2022-2067238",0,0,0,0,0,"ARB01-2022-2067238",-75.64548,4.0098,23.5,24,24,24,5.5
"ARB02-2022-2067243",0,0,0,0,0,"ARB02-2022-2067243",-75.64142,4.01505,23.5,24,24,24,5.5
"VAR01-2022-2067246",0,0,0,0,0,"VAR01-2022-2067246",-75.62041,4.04634,23.5,24,24,24,1.5
"LP01-2022-2067247",0,0,0,0,0,"LP01-2022-2067247",-75.61535,4.02272,23.5,24,24,24,2.5
"LBR01-2022-2067260",0,0,0,0,0,"LBR01-2022-2067260",-75.71011,3.91707,23.5,24,24,24,1.5
"PER01-2022-2067260",0,0,0,0,0,"PER01-2022-2067260",-75.69004,3.85857,23.5,24,24,24,0.5
"PER02-2022-2067260",0,0,0,0,0,"PER02-2022-2067260",-75.68665,3.85424,23.5,24,24,24,0.5
"REC01-2022-2067260",0,0,0,0,0,"REC01-2022-2067260",-75.69189,3.89428,23.5,24,24,24,1.5
"ALT01-2022-2067260",0,0,0,0,0,"ALT01-2022-2067260",-75.78386,3.25202,23.5,24,24,24,0.5
"AND01-2022-2067260",0,0,0,0,0,"AND01-2022-2067260",-75.77686,3.228,23.5,24,24,24,1.5
"ESP03-2022-2067260",0,0,1,0,NA,"ESP03-2022-2067260",-75.80073,3.18317,23.5,24,24,21.5,NA
"GUA01-2022-2067260",0,0,0,0,0,"GUA01-2022-2067260",-75.76909,3.24522,23.5,24,24,24,0.5
"JAM01-2022-2067260",0,0,0,0,0,"JAM01-2022-2067260",-75.78276,3.24831,23.5,24,24,24,0.5
"JAR01-2022-2067260",0,0,0,0,NA,"JAR01-2022-2067260",-75.77666,3.24832,23.5,24,24,22.5,NA
"LJ01-2022-2067260",0,0,0,0,0,"LJ01-2022-2067260",-75.64982,4.02259,23.5,24,24,24,2.5
"LB01-2022-2067260",0,0,0,0,NA,"LB01-2022-2067260",-75.6406,3.98443,23.5,24,24,23.5,NA
"CH01-2022-2033703",0,0,0,0,0,"CH01-2022-2033703",-75.65694,4.07219,23.5,24,24,24,2.5
"LR01-2022-2067244",0,0,0,0,0,"LR01-2022-2067244",-75.61626,4.03107,23.5,24,24,24,2.5
"VILL01-2022-2067248",0,0,0,0,NA,"VILL01-2022-2067248",-75.65188,4.02668,23.5,24,24,22.5,NA
"BAL02-20223-2081500",0,0,0,0,0,"BAL02-20223-2081500",-75.64348,3.88672,23.5,24,24,24,21.5
"Si-01-2023-2067260",0,0,0,NA,NA,"Si-01-2023-2067260",-75.54452,3.8306,23.5,24,13.5,NA,NA
"Elce-1-2023-2067260",0,0,0,NA,NA,"Elce-1-2023-2067260",-75.64517,3.97567,23.5,24,13.5,NA,NA
