"","o1","o2","o3","o4","o5","o6","Deployment_id","Longitude","Latitude","e1","e2","e3","e4","e5","e6"
"CT-LC-01-01",0,0,0,0,NA,NA,"CT-LC-01-01",-77.1322819590569,1.07225596904754,9.5,10,10,7.5,NA,NA
"CT-LC-01-02",0,0,0,0,NA,NA,"CT-LC-01-02",-77.1302749961615,1.05646303854883,9.5,10,10,8.5,NA,NA
"CT-LC-01-03",0,0,0,0,NA,NA,"CT-LC-01-03",-77.1319930348545,1.06007697992027,9.5,10,10,8.5,NA,NA
"CT-LC-01-05",0,0,0,0,NA,NA,"CT-LC-01-05",-77.126727020368,1.04086498729885,9.5,10,10,9.5,NA,NA
"CT-LC-01-06",0,0,0,0,NA,NA,"CT-LC-01-06",-77.1351769845933,1.04703499004245,9.5,10,10,5.5,NA,NA
"CT-LC-01-07",0,0,0,0,NA,NA,"CT-LC-01-07",-77.1348629985005,1.02727297693491,9.5,10,10,9.5,NA,NA
"CT-LC-01-08",0,0,0,0,0,NA,"CT-LC-01-08",-77.1259999740869,1.03596903383732,9.5,10,10,10,0.5,NA
"CT-LC-01-09",0,0,0,0,0,NA,"CT-LC-01-09",-77.1299849823117,1.03533502668142,9.5,10,10,10,0.5,NA
"CT-LC-01-10",0,0,0,0,0,NA,"CT-LC-01-10",-77.1270420122892,1.04558802209794,9.5,10,10,10,0.5,NA
"CT-LC-01-11",0,0,0,0,NA,NA,"CT-LC-01-11",-77.1257139835507,1.0525650344789,9.5,10,10,8.5,NA,NA
"CT-LC-01-12",0,0,0,0,0,NA,"CT-LC-01-12",-77.123034959659,1.04560897685587,9.5,10,10,10,0.5,NA
"CT-LC-01-13",0,0,0,0,0,NA,"CT-LC-01-13",-77.1349019743502,1.03138597682118,9.5,10,10,10,0.5,NA
"CT-LC-01-14",0,0,0,0,NA,NA,"CT-LC-01-14",-77.1318060345948,1.04390501976013,9.5,10,10,5.5,NA,NA
