"","o1","o2","o3","o4","o5","Deployment_id","Longitude","Latitude","e1","e2","e3","e4","NA"
"ECU-016-D0001",0,0,0,0,0,"ECU-016-D0001",-78.313603275698,-0.996822873886638,19.5,20,20,20,12.5
"ECU-016-D0002",1,0,0,0,0,"ECU-016-D0002",-78.3246690772739,-0.991038996698706,19.5,20,20,20,12.5
"ECU-016-D0003",0,0,0,0,0,"ECU-016-D0003",-78.3542847517757,-0.995879988647785,19.5,20,20,20,11.5
"ECU-016-D0004",0,0,0,0,0,"ECU-016-D0004",-78.365777719618,-0.972382285899272,19.5,20,20,20,11.5
"ECU-016-D0005",0,0,0,0,NA,"ECU-016-D0005",-78.3843801464516,-0.962120871686598,19.5,20,20,18.5,NA
"ECU-016-D0006",0,0,0,0,0,"ECU-016-D0006",-78.3531225233927,-0.955074395246355,19.5,20,20,20,12.5
"ECU-016-D0007",0,0,0,0,0,"ECU-016-D0007",-78.3771469692285,-0.933565019739335,19.5,20,20,20,10.5
"ECU-016-D0008",0,0,0,0,NA,"ECU-016-D0008",-78.3760516522343,-0.883748141801822,19.5,20,20,16.5,NA
"ECU-016-D0009",1,NA,NA,NA,NA,"ECU-016-D0009",-78.3356648364274,-0.912611912396559,13,NA,NA,NA,NA
"ECU-016-D0010",0,0,0,0,0,"ECU-016-D0010",-78.3048641467321,-0.920875930852356,19.5,20,20,20,16.5
"ECU-016-D0011",0,0,0,0,0,"ECU-016-D0011",-78.3512292136223,-1.13576083378729,19.5,20,20,20,8.5
"ECU-016-D0012",0,0,0,0,0,"ECU-016-D0012",-78.3715329309622,-1.15285172219585,19.5,20,20,20,8.5
"ECU-016-D0013",0,0,0,0,0,"ECU-016-D0013",-78.3766982349141,-1.06879648517743,19.5,20,20,20,8.5
"ECU-016-D0014",0,0,0,0,0,"ECU-016-D0014",-78.3654437494423,-1.05238342631279,19.5,20,20,20,8.5
"ECU-016-D0015",0,0,0,0,0,"ECU-016-D0015",-78.3687673678189,-0.875048690077872,19.5,20,20,20,11.5
"ECU-016-D0016",0,0,0,1,0,"ECU-016-D0016",-78.3261150252801,-0.845538375847288,19.5,20,20,20,13.5
"ECU-016-D0017",0,0,0,0,0,"ECU-016-D0017",-78.39053344873,-0.884219348127664,19.5,20,20,20,11.5
"ECU-016-D0018",0,0,0,0,0,"ECU-016-D0018",-78.3293985230757,-0.887410949959762,19.5,20,20,20,11.5
"ECU-016-D0019",0,0,0,0,0,"ECU-016-D0019",-78.4550378191958,-0.854944163627037,19.5,20,20,20,12.5
"ECU-016-D0020",0,0,0,0,0,"ECU-016-D0020",-78.3890431095644,-0.921833783984329,19.5,20,20,20,12.5
"ECU-016-D0021",0,0,0,0,0,"ECU-016-D0021",-78.3948165942219,-0.857461205612007,19.5,20,20,20,10.5
"ECU-016-D0022",0,0,0,0,0,"ECU-016-D0022",-78.3609887321019,-0.9052017798989,19.5,20,20,20,8.5
"ECU-016-D0023",0,0,0,0,NA,"ECU-016-D0023",-78.4375819803528,-1.23318038812679,19.5,20,20,12.5,NA
"ECU-016-D0024",0,0,0,0,NA,"ECU-016-D0024",-78.4644052341464,-1.24222654018078,19.5,20,20,12.5,NA
"ECU-016-D0025",0,0,0,0,NA,"ECU-016-D0025",-78.4608085026123,-1.274959913614,19.5,20,20,11.5,NA
"ECU-016-D0026",0,0,0,0,NA,"ECU-016-D0026",-78.4310104177473,-1.26843173538928,19.5,20,20,11.5,NA
"ECU-016-D0027",0,0,0,0,NA,"ECU-016-D0027",-78.3915116380421,-1.28331342089696,19.5,20,20,11.5,NA
"ECU-016-D0028",0,0,NA,NA,NA,"ECU-016-D0028",-78.390811686788,-1.28286081023407,19.5,1.5,NA,NA,NA
