project_code;deployment_id;class;order;family;genus;species;common_name;start_time;group_size;check;scientific_name;spanish_common_name;longitude;latitude;start_date;end_date;location_name;ecosystem_short;n_images;Date;Time;delta.time.secs;delta.time.mins;delta.time.hours;delta.time.days
FAZ;FAZ001;Mammalia;Rodentia;Cuniculidae;Cuniculus;paca;Spotted Paca;2024-05-24 19:41;1;2;Cuniculus paca;lapa;NA;NA;NA;NA;NA;NA;1;2024-05-24;19:41:00;0;0;0;0
FAZ;FAZ001;Mammalia;Pilosa;Myrmecophagidae;Tamandua;tetradactyla;Southern Tamandua;2024-05-17 06:54;1;2;Tamandua tetradactyla;oso melero del sur;NA;NA;NA;NA;NA;NA;1;2024-05-17;06:54:00;0;0;0;0
FAZ;FAZ001;Mammalia;Cetartiodactyla;Tayassuidae;Pecari;tajacu;Collared Peccary;2024-06-05 13:19;1;2;Pecari tajacu;pecari de collar;NA;NA;NA;NA;NA;NA;1;2024-06-05;13:19:00;0;0;0;0
FAZ;FAZ001;Mammalia;Carnivora;Felidae;Puma;concolor;Puma;2024-04-12 21:46;1;2;Puma concolor;puma;NA;NA;NA;NA;NA;NA;1;2024-04-12;21:46:00;0;0;0;0
FAZ;FAZ001;Mammalia;Perissodactyla;Tapiridae;Tapirus;terrestris;Lowland Tapir;2024-03-20 06:31;1;2;Tapirus terrestris;tapir de tierras bajas;NA;NA;NA;NA;NA;NA;3;2024-03-20;06:31:00;0;0;0;0
FAZ;FAZ001;Mammalia;Perissodactyla;Tapiridae;Tapirus;terrestris;Lowland Tapir;2024-03-20 16:47;1;2;Tapirus terrestris;tapir de tierras bajas;NA;NA;NA;NA;NA;NA;2;2024-03-20;16:47:00;36960;616;10.3;0.4
FAZ;FAZ001;Mammalia;Perissodactyla;Tapiridae;Tapirus;terrestris;Lowland Tapir;2024-04-12 16:26;1;2;Tapirus terrestris;tapir de tierras bajas;NA;NA;NA;NA;NA;NA;1;2024-04-12;16:26:00;1985940;33099;551.6;23
FAZ;FAZ001;Mammalia;Perissodactyla;Tapiridae;Tapirus;terrestris;Lowland Tapir;2024-04-20 17:13;1;2;Tapirus terrestris;tapir de tierras bajas;NA;NA;NA;NA;NA;NA;1;2024-04-20;17:13:00;694020;11567;192.8;8
FAZ;FAZ001;Mammalia;Perissodactyla;Tapiridae;Tapirus;terrestris;Lowland Tapir;2024-05-02 14:05;1;2;Tapirus terrestris;tapir de tierras bajas;NA;NA;NA;NA;NA;NA;1;2024-05-02;14:05:00;1025520;17092;284.9;11.9
FAZ;FAZ001;Mammalia;Perissodactyla;Tapiridae;Tapirus;terrestris;Lowland Tapir;2024-05-24 22:11;1;2;Tapirus terrestris;tapir de tierras bajas;NA;NA;NA;NA;NA;NA;1;2024-05-24;22:11:00;1929960;32166;536.1;22.3
FAZ;FAZ001;Mammalia;Perissodactyla;Tapiridae;Tapirus;terrestris;Lowland Tapir;2024-06-08 18:18;1;2;Tapirus terrestris;tapir de tierras bajas;NA;NA;NA;NA;NA;NA;1;2024-06-08;18:18:00;1282020;21367;356.1;14.8
FAZ;FAZ001;Mammalia;Perissodactyla;Tapiridae;Tapirus;terrestris;Lowland Tapir;2024-06-15 06:52;1;2;Tapirus terrestris;tapir de tierras bajas;NA;NA;NA;NA;NA;NA;1;2024-06-15;06:52:00;563640;9394;156.6;6.5
FAZ;FAZ001;Mammalia;Perissodactyla;Tapiridae;Tapirus;terrestris;Lowland Tapir;2024-06-16 06:28;1;2;Tapirus terrestris;tapir de tierras bajas;NA;NA;NA;NA;NA;NA;1;2024-06-16;06:28:00;84960;1416;23.6;1
FAZ;FAZ001;Mammalia;Perissodactyla;Tapiridae;Tapirus;terrestris;Lowland Tapir;2024-06-20 03:40;1;2;Tapirus terrestris;tapir de tierras bajas;NA;NA;NA;NA;NA;NA;1;2024-06-20;03:40:00;335520;5592;93.2;3.9
FAZ;FAZ001;Mammalia;Perissodactyla;Tapiridae;Tapirus;terrestris;Lowland Tapir;2024-06-23 13:03;1;2;Tapirus terrestris;tapir de tierras bajas;NA;NA;NA;NA;NA;NA;1;2024-06-23;13:03:00;292980;4883;81.4;3.4
FAZ;FAZ002;Mammalia;Rodentia;Dasyproctidae;Dasyprocta;fuliginosa;Black Agouti;2023-03-30 15:12;1;1;Dasyprocta fuliginosa;agutí negro;-71.72565;4.39919;2024-02-21 00:00;2024-05-22 00:00;Fc. Santa Clara;Bosque de galerÃ­a;1;2023-03-30;15:12:00;0;0;0;0
FAZ;FAZ002;Mammalia;Rodentia;Dasyproctidae;Dasyprocta;fuliginosa;Black Agouti;2023-04-06 10:44;1;1;Dasyprocta fuliginosa;agutí negro;-71.72565;4.39919;2024-02-21 00:00;2024-05-22 00:00;Fc. Santa Clara;Bosque de galerÃ­a;1;2023-04-06;10:44:00;588720;9812;163.5;6.8
FAZ;FAZ002;Mammalia;Rodentia;Dasyproctidae;Dasyprocta;fuliginosa;Black Agouti;2023-04-20 10:28;1;1;Dasyprocta fuliginosa;agutí negro;-71.72565;4.39919;2024-02-21 00:00;2024-05-22 00:00;Fc. Santa Clara;Bosque de galerÃ­a;2;2023-04-20;10:28:00;1208640;20144;335.7;14
FAZ;FAZ002;Mammalia;Rodentia;Dasyproctidae;Dasyprocta;fuliginosa;Black Agouti;2023-04-24 09:36;1;1;Dasyprocta fuliginosa;agutí negro;-71.72565;4.39919;2024-02-21 00:00;2024-05-22 00:00;Fc. Santa Clara;Bosque de galerÃ­a;1;2023-04-24;09:36:00;342480;5708;95.1;4
FAZ;FAZ002;Mammalia;Rodentia;Dasyproctidae;Dasyprocta;fuliginosa;Black Agouti;2023-04-29 07:18;1;1;Dasyprocta fuliginosa;agutí negro;-71.72565;4.39919;2024-02-21 00:00;2024-05-22 00:00;Fc. Santa Clara;Bosque de galerÃ­a;1;2023-04-29;07:18:00;423720;7062;117.7;4.9
FAZ;FAZ002;Mammalia;Rodentia;Dasyproctidae;Dasyprocta;fuliginosa;Black Agouti;2023-04-29 16:59;1;1;Dasyprocta fuliginosa;agutí negro;-71.72565;4.39919;2024-02-21 00:00;2024-05-22 00:00;Fc. Santa Clara;Bosque de galerÃ­a;2;2023-04-29;16:59:00;34860;581;9.7;0.4
FAZ;FAZ002;Mammalia;Rodentia;Dasyproctidae;Dasyprocta;fuliginosa;Black Agouti;2023-04-30 06:54;1;1;Dasyprocta fuliginosa;agutí negro;-71.72565;4.39919;2024-02-21 00:00;2024-05-22 00:00;Fc. Santa Clara;Bosque de galerÃ­a;1;2023-04-30;06:54:00;50100;835;13.9;0.6
FAZ;FAZ002;Mammalia;Rodentia;Dasyproctidae;Dasyprocta;fuliginosa;Black Agouti;2023-05-02 18:02;1;1;Dasyprocta fuliginosa;agutí negro;-71.72565;4.39919;2024-02-21 00:00;2024-05-22 00:00;Fc. Santa Clara;Bosque de galerÃ­a;1;2023-05-02;18:02:00;212880;3548;59.1;2.5
FAZ;FAZ002;Mammalia;Rodentia;Dasyproctidae;Dasyprocta;fuliginosa;Black Agouti;2023-05-02 19:07;1;1;Dasyprocta fuliginosa;agutí negro;-71.72565;4.39919;2024-02-21 00:00;2024-05-22 00:00;Fc. Santa Clara;Bosque de galerÃ­a;1;2023-05-02;19:07:00;3900;65;1.1;0
FAZ;FAZ002;Mammalia;Rodentia;Dasyproctidae;Dasyprocta;fuliginosa;Black Agouti;2023-05-03 07:59;1;1;Dasyprocta fuliginosa;agutí negro;-71.72565;4.39919;2024-02-21 00:00;2024-05-22 00:00;Fc. Santa Clara;Bosque de galerÃ­a;1;2023-05-03;07:59:00;46320;772;12.9;0.5
FAZ;FAZ002;Mammalia;Rodentia;Dasyproctidae;Dasyprocta;fuliginosa;Black Agouti;2023-05-04 17:40;1;1;Dasyprocta fuliginosa;agutí negro;-71.72565;4.39919;2024-02-21 00:00;2024-05-22 00:00;Fc. Santa Clara;Bosque de galerÃ­a;1;2023-05-04;17:40:00;121260;2021;33.7;1.4
FAZ;FAZ002;Mammalia;Rodentia;Dasyproctidae;Dasyprocta;fuliginosa;Black Agouti;2023-05-09 11:22;1;1;Dasyprocta fuliginosa;agutí negro;-71.72565;4.39919;2024-02-21 00:00;2024-05-22 00:00;Fc. Santa Clara;Bosque de galerÃ­a;1;2023-05-09;11:22:00;409320;6822;113.7;4.7
FAZ;FAZ002;Mammalia;Rodentia;Dasyproctidae;Dasyprocta;fuliginosa;Black Agouti;2023-05-09 14:09;1;1;Dasyprocta fuliginosa;agutí negro;-71.72565;4.39919;2024-02-21 00:00;2024-05-22 00:00;Fc. Santa Clara;Bosque de galerÃ­a;1;2023-05-09;14:09:00;10020;167;2.8;0.1
FAZ;FAZ002;Mammalia;Rodentia;Dasyproctidae;Dasyprocta;fuliginosa;Black Agouti;2023-05-11 19:13;1;1;Dasyprocta fuliginosa;agutí negro;-71.72565;4.39919;2024-02-21 00:00;2024-05-22 00:00;Fc. Santa Clara;Bosque de galerÃ­a;1;2023-05-11;19:13:00;191040;3184;53.1;2.2
FAZ;FAZ002;Mammalia;Rodentia;Dasyproctidae;Dasyprocta;fuliginosa;Black Agouti;2023-05-12 07:31;1;1;Dasyprocta fuliginosa;agutí negro;-71.72565;4.39919;2024-02-21 00:00;2024-05-22 00:00;Fc. Santa Clara;Bosque de galerÃ­a;1;2023-05-12;07:31:00;44280;738;12.3;0.5
FAZ;FAZ002;Mammalia;Rodentia;Dasyproctidae;Dasyprocta;fuliginosa;Black Agouti;2023-05-12 18:08;1;1;Dasyprocta fuliginosa;agutí negro;-71.72565;4.39919;2024-02-21 00:00;2024-05-22 00:00;Fc. Santa Clara;Bosque de galerÃ­a;1;2023-05-12;18:08:00;38220;637;10.6;0.4
FAZ;FAZ002;Mammalia;Rodentia;Dasyproctidae;Dasyprocta;fuliginosa;Black Agouti;2023-05-21 17:22;1;1;Dasyprocta fuliginosa;agutí negro;-71.72565;4.39919;2024-02-21 00:00;2024-05-22 00:00;Fc. Santa Clara;Bosque de galerÃ­a;1;2023-05-21;17:22:00;774840;12914;215.2;9
FAZ;FAZ002;Mammalia;Rodentia;Dasyproctidae;Dasyprocta;fuliginosa;Black Agouti;2023-05-22 07:18;1;1;Dasyprocta fuliginosa;agutí negro;-71.72565;4.39919;2024-02-21 00:00;2024-05-22 00:00;Fc. Santa Clara;Bosque de galerÃ­a;1;2023-05-22;07:18:00;50160;836;13.9;0.6
FAZ;FAZ002;Mammalia;Rodentia;Dasyproctidae;Dasyprocta;fuliginosa;Black Agouti;2023-05-23 12:54;1;2;Dasyprocta fuliginosa;agutí negro;-71.72565;4.39919;2024-02-21 00:00;2024-05-22 00:00;Fc. Santa Clara;Bosque de galerÃ­a;1;2023-05-23;12:54:00;106560;1776;29.6;1.2
FAZ;FAZ002;Mammalia;Rodentia;Dasyproctidae;Dasyprocta;fuliginosa;Black Agouti;2023-05-24 10:17;1;2;Dasyprocta fuliginosa;agutí negro;-71.72565;4.39919;2024-02-21 00:00;2024-05-22 00:00;Fc. Santa Clara;Bosque de galerÃ­a;1;2023-05-24;10:17:00;76980;1283;21.4;0.9
FAZ;FAZ002;Mammalia;Rodentia;Dasyproctidae;Dasyprocta;fuliginosa;Black Agouti;2023-05-24 13:29;1;2;Dasyprocta fuliginosa;agutí negro;-71.72565;4.39919;2024-02-21 00:00;2024-05-22 00:00;Fc. Santa Clara;Bosque de galerÃ­a;1;2023-05-24;13:29:00;11520;192;3.2;0.1
FAZ;FAZ002;Mammalia;Rodentia;Dasyproctidae;Dasyprocta;fuliginosa;Black Agouti;2023-05-24 17:59;1;2;Dasyprocta fuliginosa;agutí negro;-71.72565;4.39919;2024-02-21 00:00;2024-05-22 00:00;Fc. Santa Clara;Bosque de galerÃ­a;1;2023-05-24;17:59:00;16200;270;4.5;0.2
FAZ;FAZ002;Mammalia;Rodentia;Dasyproctidae;Dasyprocta;fuliginosa;Black Agouti;2023-05-24 19:06;1;2;Dasyprocta fuliginosa;agutí negro;-71.72565;4.39919;2024-02-21 00:00;2024-05-22 00:00;Fc. Santa Clara;Bosque de galerÃ­a;1;2023-05-24;19:06:00;4020;67;1.1;0
FAZ;FAZ002;Mammalia;Rodentia;Dasyproctidae;Dasyprocta;fuliginosa;Black Agouti;2023-05-25 06:45;1;2;Dasyprocta fuliginosa;agutí negro;-71.72565;4.39919;2024-02-21 00:00;2024-05-22 00:00;Fc. Santa Clara;Bosque de galerÃ­a;1;2023-05-25;06:45:00;41940;699;11.7;0.5
FAZ;FAZ002;Mammalia;Rodentia;Dasyproctidae;Dasyprocta;fuliginosa;Black Agouti;2023-05-25 07:47;1;2;Dasyprocta fuliginosa;agutí negro;-71.72565;4.39919;2024-02-21 00:00;2024-05-22 00:00;Fc. Santa Clara;Bosque de galerÃ­a;1;2023-05-25;07:47:00;3720;62;1;0
