project_id,camera_id,camera_name,make,model,serial_number,year_purchased
2000367,2068002,H500HH03204871,Reconyx,Reconyx,,
2000367,2054705,CT-UC-02-24,Bushnell,Trophy Cam HD,,2016
2000367,2054396,CT-UC-02-23,Bushnell,Trophy Cam HD,,2016
2000367,2054390,CT-UC-02-22,Bushnell,Trophy Cam HD,,2016
2000367,2054389,CT-UC-02-21,Bushnell,Trophy Cam HD,,2016
2000367,2054386,CT-UC-02-18,Bushnell,Trophy Cam HD,,2016
2000367,2054219,CT-UC-02-17,Bushnell,Trophy Cam HD,,2016
2000367,2053939,CT-UC-02-16,Bushnell,Trophy Cam HD,,2016
2000367,2053911,CT-UC-02-15,Bushnell,Trophy Cam HD,,2016
2000367,2053881,CT-UC-02-14,Bushnell,Trophy Cam HD,,2016
2000367,2053875,CT-UC-02-13,Bushnell,Trophy Cam HD,,2016
2000367,2053868,CT-UC-02-12,Bushnell,Trophy Cam HD,,2016
2000367,2053865,CT-UC-02-11,Bushnell,Trophy Cam HD,,2016
2000367,2053055,CT-UC-02-10,Bushnell,Trophy Cam HD,,2016
2000367,2053028,CT-UC-02-08,Bushnell,Trophy Cam HD,,2016
2000367,2053004,CT-UC-02-07,Bushnell,Trophy Cam HD,,2016
2000367,2006416,CT-UC-02-06,Bushnell,Trophy Cam HD,B160533443,2016
2000367,2052776,CT-UC-02-05,Bushnell,Trophy Cam HD,,2016
2000367,2052670,CT-UC-02-04,Bushnell,Trophy Cam HD,,2016
2000367,2052668,CT-UC-02-03,Bushnell,Trophy Cam HD,,2016
2000367,2052474,CT-UC-02-02,Bushnell,Trophy Cam HD,,2016
2000367,2052464,CT-UC-02-01,Bushnell,Trophy Cam HD,,2016
2000367,2052308,CT-UC-01-31,Bushnell,Trophy Cam HD,,2016
2000367,2052298,CT-UC-01-30,Bushnell,Trophy Cam HD,,2016
2000367,2052294,CT-UC-01-29,Bushnell,Trophy Cam HD,,2016
2000367,2052276,CT-UC-01-28,Bushnell,Trophy Cam HD,,2016
2000367,2052230,CT-UC-01-27,Bushnell,Trophy Cam HD,,2016
2000367,2052208,CT-UC-01-26,Bushnell,Trophy Cam HD,,2016
2000367,2052207,CT-UC-01-25,Bushnell,Trophy Cam HD,,2016
2000367,2052206,CT-UC-01-24,Bushnell,Trophy Cam HD,,2016
2000367,2052205,CT-UC-01-23,Bushnell,Trophy Cam HD,,2016
2000367,2052204,CT-UC-01-22,Bushnell,Trophy Cam HD,,2016
2000367,2052194,CT-UC-01-21,Bushnell,Trophy Cam HD,,2016
2000367,2052184,CT-UC-01-20,Bushnell,Trophy Cam HD,,2016
2000367,2052180,CT-UC-01-18,Bushnell,Trophy Cam HD,,2016
2000367,2052173,CT-UC-01-17,Bushnell,Trophy Cam HD,,2016
2000367,2052109,CT-UC-01-16,Bushnell,Trophy Cam HD,,2016
2000367,2052106,CT-UC-01-15,Bushnell,Trophy Cam HD,,2016
2000367,2052099,CT-UC-01-14,Bushnell,Trophy Cam HD,,2016
2000367,2052096,CT-UC-01-13,Bushnell,Trophy Cam HD,,2016
2000367,2052092,CT-UC-01-12,Bushnell,Trophy Cam HD,,2016
2000367,2006421,CT-UC-01-11,Bushnell,Trophy Cam HD,B160533481,2016
2000367,2006420,CT-UC-01-10,Bushnell,Trophy Cam HD,B160534408,2016
2000367,2006419,CT-UC-01-09,Bushnell,Trophy Cam HD,B160534646,2016
2000367,2006418,CT-UC-01-08,Bushnell,Trophy Cam HD,B160534805,2016
2000367,2006417,CT-UC-01-07,Bushnell,Trophy Cam HD,B160534807,2016
2000367,2006415,CT-UC-01-05,Bushnell,Trophy Cam HD,B160534279,2016
2000367,2006411,CT-UC-01-04,Bushnell,Trophy Cam HD,B160534282,2016
2000367,2006413,CT-UC-01-04,Bushnell,Trophy Cam HD,B160534282,2016
2000367,2006412,CT-UC-01-03,Bushnell,Trophy Cam HD,B160910703,2016
2000367,2081624,CT-LC-01-59,Bushnell,Trophy Cam HD,,2016
2000367,2081623,CT-LC-01-58,Bushnell,Trophy Cam HD,,2016
2000367,2081622,CT-LC-01-57,Bushnell,Trophy Cam HD,,2016
2000367,2081621,CT-LC-01-56,Bushnell,Trophy Cam HD,,2016
2000367,2081620,CT-LC-01-55,Bushnell,Trophy Cam HD,,2016
2000367,2081619,CT-LC-01-51,Bushnell,Trophy Cam HD,,2016
2000367,2081618,CT-LC-01-49,Bushnell,Trophy Cam HD,,2016
2000367,2081617,CT-LC-01-47,Bushnell,Trophy Cam HD,,2016
2000367,2081616,CT-LC-01-46,Bushnell,Trophy Cam HD,,2016
2000367,2081615,CT-LC-01-45,Bushnell,Trophy Cam HD,,2016
2000367,2081614,CT-LC-01-43,Bushnell,Trophy Cam HD,,2016
2000367,2081613,CT-LC-01-42,Bushnell,Trophy Cam HD,,2016
2000367,2081612,CT-LC-01-41,Bushnell,Trophy Cam HD,,2016
