project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,camera_name,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,plot_treatment_description,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by,remarks
2000367,CT-LC-01-07,CT-LC-01-07,-77.1348629,1.0272729,2018-05-20 00:00:00,2018-06-28 00:00:00,None,,Trail game,PUSIMOS 60 CAMARAS SEPARADAS POR 500 METROS,2081581,CT-LC-01-07,1,Camera Functioning,Knee height,NA,Parallel,NA,,,,Nariño1 ,Instalamos 60 camaras en un solo array,Cocha1,,,Laura Jaimes,
2000367,CT-LC-01-59,CT-LC-01-59,-77.139538,1.0284969,2018-05-14 00:00:00,2018-06-24 00:00:00,None,,Trail game,PUSIMOS 60 CAMARAS SEPARADAS POR 500 METROS,2081624,CT-LC-01-59,1,Camera Functioning,Knee height,NA,Parallel,NA,,,,Nariño1 ,Instalamos 60 camaras en un solo array,Cocha1,,,Laura Jaimes,
2000367,CT-LC-01-18,CT-LC-01-18,-77.129979,1.031266,2018-05-17 00:00:00,2018-06-28 00:00:00,None,,Trail game,PUSIMOS 60 CAMARAS SEPARADAS POR 500 METROS,2081592,CT-LC-01-18,1,Camera Functioning,Knee height,NA,Parallel,NA,,,,Nariño1 ,Instalamos 60 camaras en un solo array,Cocha1,,,Laura Jaimes,
2000367,CT-LC-01-13,CT-LC-01-13,-77.1349019,1.0313859,2018-05-19 00:00:00,2018-06-28 00:00:00,None,,Trail game,PUSIMOS 60 CAMARAS SEPARADAS POR 500 METROS,2081587,CT-LC-01-13,1,Camera Functioning,Knee height,NA,Parallel,NA,,,,Nariño1 ,Instalamos 60 camaras en un solo array,Cocha1,,,Laura Jaimes,
2000367,CT-LC-01-21,CT-LC-01-21,-77.1245769,1.0319219,2018-05-17 00:00:00,2018-06-27 00:00:00,None,,Trail game,PUSIMOS 60 CAMARAS SEPARADAS POR 500 METROS,2081594,CT-LC-01-21,1,Camera Functioning,Knee height,NA,Parallel,NA,,,,Nariño1 ,Instalamos 60 camaras en un solo array,Cocha1,,,Laura Jaimes,
2000367,CT-LC-01-27,CT-LC-01-27,-77.140306,1.032618,2018-05-10 00:00:00,2018-06-24 00:00:00,None,,Trail game,PUSIMOS 60 CAMARAS SEPARADAS POR 500 METROS,2081599,CT-LC-01-27,1,Camera Functioning,Knee height,NA,Parallel,NA,,,,Nariño1 ,Instalamos 60 camaras en un solo array,Cocha1,,,Laura Jaimes,
2000367,CT-LC-01-31,CT-LC-01-31,-77.153044,1.0331699,2018-05-09 00:00:00,2018-06-23 00:00:00,None,,Trail game,PUSIMOS 60 CAMARAS SEPARADAS POR 500 METROS,2081603,CT-LC-01-31,1,Camera Functioning,Knee height,NA,Parallel,NA,,,,Nariño1 ,Instalamos 60 camaras en un solo array,Cocha1,,,Laura Jaimes,
2000367,CT-LC-01-28,CT-LC-01-28,-77.1435619,1.035086,2018-05-10 00:00:00,2018-06-23 00:00:00,None,,Trail game,PUSIMOS 60 CAMARAS SEPARADAS POR 500 METROS,2081600,CT-LC-01-28,1,Camera Functioning,Knee height,NA,Parallel,NA,,,,Nariño1 ,Instalamos 60 camaras en un solo array,Cocha1,,,Laura Jaimes,
2000367,CT-LC-01-09,CT-LC-01-09,-77.1299849,1.035335,2018-05-19 00:00:00,2018-06-28 00:00:00,None,,Trail game,PUSIMOS 60 CAMARAS SEPARADAS POR 500 METROS,2081583,CT-LC-01-09,1,Camera Functioning,Knee height,NA,Parallel,NA,,,,Nariño1 ,Instalamos 60 camaras en un solo array,Cocha1,,,Laura Jaimes,
2000367,CT-LC-01-30,CT-LC-01-30,-77.1477319,1.0355389,2018-05-21 00:00:00,2018-07-31 00:00:00,None,,Trail game,PUSIMOS 60 CAMARAS SEPARADAS POR 500 METROS,2081602,CT-LC-01-30,1,Theft,Knee height,NA,Parallel,NA,,,,Nariño1 ,Instalamos 60 camaras en un solo array,Cocha1,,,Laura Jaimes,
2000367,CT-LC-01-08,CT-LC-01-08,-77.1259999,1.035969,2018-05-18 00:00:00,2018-06-27 00:00:00,None,,Trail game,PUSIMOS 60 CAMARAS SEPARADAS POR 500 METROS,2081582,CT-LC-01-08,1,Camera Functioning,Knee height,NA,Parallel,NA,,,,Nariño1 ,Instalamos 60 camaras en un solo array,Cocha1,,,Laura Jaimes,
2000367,CT-LC-01-25,CT-LC-01-25,-77.12123704,1.03618,2018-05-17 00:00:00,2018-06-27 00:00:00,None,,Trail game,PUSIMOS 60 CAMARAS SEPARADAS POR 500 METROS,2081625,CT-LC-01-25,1,Camera Functioning,Knee height,NA,Parallel,NA,,,,Nariño1 ,Instalamos 60 camaras en un solo array,Cocha1,NA,,Laura Jaimes,
2000367,CT-LC-01-43,CT-LC-01-43,-77.1402519,1.0368069,2018-05-14 00:00:00,2018-06-24 00:00:00,None,,Trail game,PUSIMOS 60 CAMARAS SEPARADAS POR 500 METROS,2081614,CT-LC-01-43,1,Camera Functioning,Knee height,NA,Parallel,NA,,,,Nariño1 ,Instalamos 60 camaras en un solo array,Cocha1,,,Laura Jaimes,
2000367,CT-LC-01-32,CT-LC-01-32,-77.1507479,1.0385509,2018-05-09 00:00:00,2018-06-23 00:00:00,None,,Trail game,PUSIMOS 60 CAMARAS SEPARADAS POR 500 METROS,2081604,CT-LC-01-32,1,Camera Functioning,Knee height,NA,Parallel,NA,,,,Nariño1 ,Instalamos 60 camaras en un solo array,Cocha1,,,Laura Jaimes,
2000367,CT-LC-01-16,CT-LC-01-16,-77.130827,1.0393999,2018-05-19 00:00:00,2018-06-27 00:00:00,None,,Trail game,PUSIMOS 60 CAMARAS SEPARADAS POR 500 METROS,2081590,CT-LC-01-16,1,Camera Functioning,Knee height,NA,Parallel,NA,,,,Nariño1 ,Instalamos 60 camaras en un solo array,Cocha1,,,Laura Jaimes,
2000367,CT-LC-01-35,CT-LC-01-35,-77.1438479,1.039688,2018-05-10 00:00:00,2018-06-24 00:00:00,None,,Trail game,PUSIMOS 60 CAMARAS SEPARADAS POR 500 METROS,2081607,CT-LC-01-35,1,Camera Functioning,Knee height,NA,Parallel,NA,,,,Nariño1 ,Instalamos 60 camaras en un solo array,Cocha1,,,Laura Jaimes,
2000367,CT-LC-01-05,CT-LC-01-05,-77.126727,1.0408649,2018-05-19 00:00:00,2018-06-27 00:00:00,None,,Trail game,PUSIMOS 60 CAMARAS SEPARADAS POR 500 METROS,2081579,CT-LC-01-05,1,Camera Functioning,Knee height,NA,Parallel,NA,,,,Nariño1 ,Instalamos 60 camaras en un solo array,Cocha1,,,Laura Jaimes,
2000367,CT-LC-01-15,CT-LC-01-15,-77.120615,1.041055,2018-05-18 00:00:00,2018-06-27 00:00:00,None,,Trail game,PUSIMOS 60 CAMARAS SEPARADAS POR 500 METROS,2081589,CT-LC-01-15,1,Camera Functioning,Knee height,NA,Parallel,NA,,,,Nariño1 ,Instalamos 60 camaras en un solo array,Cocha1,,,Laura Jaimes,
2000367,CT-LC-01-42,CT-LC-01-42,-77.139467,1.041112,2018-05-20 00:00:00,2018-06-24 00:00:00,None,,Trail game,PUSIMOS 60 CAMARAS SEPARADAS POR 500 METROS,2081613,CT-LC-01-42,1,Camera Functioning,Knee height,NA,Parallel,NA,,,,Nariño1 ,Instalamos 60 camaras en un solo array,Cocha1,,,Laura Jaimes,
2000367,CT-LC-01-34,CT-LC-01-34,-77.1468849,1.0413929,2018-05-09 00:00:00,2018-06-23 00:00:00,None,,Trail game,PUSIMOS 60 CAMARAS SEPARADAS POR 500 METROS,2081606,CT-LC-01-34,1,Camera Functioning,Knee height,NA,Parallel,NA,,,,Nariño1 ,Instalamos 60 camaras en un solo array,Cocha1,,,Laura Jaimes,
2000367,CT-LC-01-24,CT-LC-01-24,-77.153879,1.0416809,2018-05-11 00:00:00,2018-06-30 00:00:00,None,,Trail game,PUSIMOS 60 CAMARAS SEPARADAS POR 500 METROS,2081597,CT-LC-01-24,1,Camera Functioning,Knee height,NA,Parallel,NA,,,,Nariño1 ,Instalamos 60 camaras en un solo array,Cocha1,,,Laura Jaimes,
2000367,CT-LC-01-14,CT-LC-01-14,-77.131806,1.043905,2018-05-21 00:00:00,2018-06-28 00:00:00,None,,Trail game,PUSIMOS 60 CAMARAS SEPARADAS POR 500 METROS,2081588,CT-LC-01-14,1,Camera Functioning,Knee height,NA,Parallel,NA,,,,Nariño1 ,Instalamos 60 camaras en un solo array,Cocha1,,,Laura Jaimes,
2000367,CT-LC-01-29,CT-LC-01-29,-77.1499999,1.0444139,2018-05-09 00:00:00,2018-06-23 00:00:00,None,,Trail game,PUSIMOS 60 CAMARAS SEPARADAS POR 500 METROS,2081601,CT-LC-01-29,1,Camera Functioning,Knee height,NA,Parallel,NA,,,,Nariño1 ,Instalamos 60 camaras en un solo array,Cocha1,,,Laura Jaimes,
2000367,CT-LC-01-33,CT-LC-01-33,-77.143981,1.04442,2018-05-09 00:00:00,2018-06-23 00:00:00,None,,Trail game,PUSIMOS 60 CAMARAS SEPARADAS POR 500 METROS,2081605,CT-LC-01-33,1,Camera Functioning,Knee height,NA,Parallel,NA,,,,Nariño1 ,Instalamos 60 camaras en un solo array,Cocha1,,,Laura Jaimes,
2000367,CT-LC-01-10,CT-LC-01-10,-77.127042,1.045588,2018-05-18 00:00:00,2018-06-27 00:00:00,None,,Trail game,PUSIMOS 60 CAMARAS SEPARADAS POR 500 METROS,2081584,CT-LC-01-10,1,Camera Functioning,Knee height,NA,Parallel,NA,,,,Nariño1 ,Instalamos 60 camaras en un solo array,Cocha1,,,Laura Jaimes,
