CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-03-12 00:00,mm,4.4,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-03-13 00:00,mm,27.8,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-03-14 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-03-15 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-03-16 00:00,mm,6.4,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-03-17 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-03-18 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-03-19 00:00,mm,0.9,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-03-20 00:00,mm,15.8,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-03-21 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-03-22 00:00,mm,6.2,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-03-23 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-03-24 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-03-25 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-03-26 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-03-27 00:00,mm,7.2,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-03-28 00:00,mm,23.7,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-03-29 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-03-30 00:00,mm,13.5,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-03-31 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-04-01 00:00,mm,8.7,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-04-02 00:00,mm,9.5,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-04-03 00:00,mm,57.6,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-04-04 00:00,mm,8.5,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-04-05 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-04-06 00:00,mm,1.8,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-04-07 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-04-08 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-04-09 00:00,mm,1.4,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-04-10 00:00,mm,25.6,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-04-11 00:00,mm,64.6,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-04-12 00:00,mm,10.3,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-04-13 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-04-14 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-04-15 00:00,mm,0.3,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-04-16 00:00,mm,44.6,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-04-17 00:00,mm,0.5,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-04-18 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-04-19 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-04-20 00:00,mm,3.7,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-04-21 00:00,mm,0.6,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-04-22 00:00,mm,5.6,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-04-23 00:00,mm,2.6,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-04-24 00:00,mm,8.8,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-04-25 00:00,mm,42.7,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-04-26 00:00,mm,2.4,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-04-27 00:00,mm,0.5,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-04-28 00:00,mm,44.6,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-04-29 00:00,mm,6.6,Definitivo
